text,translation,source,src,target,source_id_or_reference
"Latvia's industries include the manufacture of electronic equipment, household appliances, varied machinery and metal products, buses and railway coaches.","Is iad príomhthonscail na Laitviatrealamh leictreonach, gléasanna tí, innealra, earraímiotail, busanna agus cóistíiarnróid.",ymoslem/EUbookshop-Speech-Irish,en,ga,0
"Within their respective spheres of competence, the Community and the MemberStates shall cooperate with third countries and with the competent international organizations.","Faoi chuimsiú a n-inniúlachtaí faoi seach, comhoibreoidh an Comhphobal agus na Ballstáit le tríú tíortha agus leis na heagraíochtaí idirnàisiúnta inniúla.",ymoslem/EUbookshop-Speech-Irish,en,ga,1
"The Commission shall consist of thirteen members, who shall be chosen on the grounds of their general competence and whose inde­pendence is beyond doubt.*","Beidh ar an gCoimisiún tri chomhalta dhéag, a roghnófar de bharr a n-inniúlachta i gcoitinne agus nach bhfuil a neamhspleáchas inchurta ín amhras.*",ymoslem/EUbookshop-Speech-Irish,en,ga,2
"In so doing, the Council shall take into account the need for adaptation to the economic development which will result from establishing the common market.",A leagan amach di. cuirfidh an Chomhairle san áireamh an riachtanas atá le hoiriúnú don fhorbairt eacnamaíoch a thiocfaidh den chómhargadh a bhunú.,ymoslem/EUbookshop-Speech-Irish,en,ga,3
"(a) studies on the application of radioisotopes in the following fields: medicine, agriculture, entomology and environmental protection,","(a) staidéir ar úsáid r a da iseatóipí sna réimsí seo a leanas: míochaine, talmhaíocht, feithideolaíocht, cosaint an chomhshaoil,",ymoslem/EUbookshop-Speech-Irish,en,ga,4
Maladministration may thus also be found when the fulfilment of obligations arising from contracts concluded by Community institutions or bodies is concerned.,"Mar sin, féadfaidh drochriarachán a bheith i gceist i ndáil le comhlíonadh dualgas a eascraíonn as conarthaí curtha i gcrích ag institiúidí nó comhlachtaí Comhphobail.",ymoslem/EUbookshop-Speech-Irish,en,ga,5
"Basic information is available in dierent languages, and multilingual speakers act as mediators and interpreters, providing ready access and easing integration.","Bíonn buneolas le fáil i dteangacha éagsúla, agus bíonn cainteoirí ilteangacha ann mar idirghabhálaithe agus mar ateangairí, chun rochtain agus lánpháirtiú a éascú.",ymoslem/EUbookshop-Speech-Irish,en,ga,6
Any changes to the provisions of the Code of Conduct for Members of the Commission relating to conflict of interest or ethical behaviour shall be sent immediately to Parliament.,Déanfar aon athruithe ar na forálacha den Chód Iompair do Chomhaltaí an Choimisiúin a bhaineann le coimhlint leasa nó iompraíocht eitice a chur chuig an bParlaimint láithreach.,ymoslem/EUbookshop-Speech-Irish,en,ga,7
"(e) the absence of any controls on persons, whatever their nationality, when crossing internal borders.","(e) nach mbeidh aon rialú ar dhaoine, is cuma cén náisiúntacht atá acu, agus iad ag dul trasna teorainneacha inmheánacha.",ymoslem/EUbookshop-Speech-Irish,en,ga,8
"Representatives of Member States taking part in the work of the institutions of the Communities, their advisers and technical","Na hionadaithe do Bhallstáit a ghlacann páirt in obair institiúidí na gComhphobal, beidh acu féin agus ag a gcomhairleoirí agus a saineol-",ymoslem/EUbookshop-Speech-Irish,en,ga,9
