text,translation,source,src,target,source_id_or_reference
"Y así, cuando hizo su ofrenda de fuego, se sienta delante de los demás y una persona se queda junto a él.",Auh in ye yuhqui in on tlenamacac niman ye ic teixpan on motlalia ce tlacatl itech mocaua.,Vida económica de Tenochtitlan,es,nah,1
"¿Si es jade, si es oro, acaso no tendrá que ir allá?","¿In chalchihuitl, teocuitlatl, mach ah ca on yaz?",Trece Poetas del Mundo Azteca,es,nah,2
"Y cuando el Sol estuvo solo en el cielo, enseguida comenzó a amarillear, y fue oscureciendo poco a poco hasta que el Sol desapareció, cuando frente a él fue a colocarse la Luna, alcanzando a cubrir el disco del Sol, y así lentamente desapareció el Sol.","Auh yn oyuh in yoca hualmotlalli tonatiuh ylhuicatitech, niman yc peuh yn huel ye tlacoçahuia, çan ihuiantzin ye tlayohuatiuh ynic ye poliuhtiuh tonatiuh, ynic huel ixpan || 147 ye yatiuh ynic huel ixpan ye onmomana metztli, huel cacitimoman ynic yahualtic tonatiuh ynic quixtzacuilli, y çan ihuiantzin huel onpolihuico tonatiuh.",Diario,es,nah,3
"Allá acudieron asimismo los señores del cabildo de la ciudad y los oidores de la Real Audiencia, quienes pusieron enmedio a un hombre que llevaba sobre un cojín la corona real, y todos iban avanzando al mismo tiempo.","Yn oncan mohuicatza yhuan yn ciudad cabildo tlaca yhuan oydores Audiencia Real tlacan, quinepantlahuitiaque yn tlahtocacorona real quinapalotia ce tlacatl coxín ypan mantia, çan ye ynmamanian yn mantiaque.",Diario,es,nah,4
Usos:,Kualtia:,Una tortillita nomás - Se taxkaltsin saj,es,nah,5
"Los mexitin adoraban exclusivamente al gran Diablo, a fin de que éste se apiadara de ellos, los ayudara y los salvara, y no permitiera que los mataran y destruyeran a todos, sino que los llevara a otro lugar, para que en otro sitio bueno y apropiado les diera tierras, donde se ocuparían tan sólo en servirlo.","Auh ynin ca huel yehuatl quimocenteotia || 31r yn huey tlacatecolotl, ma cenca quinmicnelli ma quinpalehui ma quinmaquixti, ynic amo mochtin quinmictizque ynic amo quincenpopolozque, ma cana occeccan quinhuica ma cana cualcan yeccan quintlalmaca, yn oncan cenca quixcahuizque ynic quitlaecoltizque.",Memorial Breve (Libro las ocho relaciones),es,nah,6
"También vino de España, para ser aquí juez de los obrajeros, otro caballero llamado don Francisco de Cardona, comendador de Montesa, que igualmente vestía el hábito de su encomienda con una cruz roja.","Yhuan occe cavallero ytoca don Francisco de Cardona comendador de Montesa, no chichiltic cruz çan ixquich nepaniuhqui yn icomienda quitlalia, no umpa hualla yn España, ynin nican injuez mochihuaco yn obrajeros.",Diario,es,nah,7
Este hombre es rico.,﻿Inin tlacatl cemi tlatquihua.,Método auto-didáctico náhuatl-español,es,nah,8
En este año se enseñoreó Tziuhtécatl como tlatohuani de Colhuacan.,Ypan in motlahtocatlalli yn Tziuhtecatl yn Colhuacan tlahtohuani.,Tercera Relación (Libro las ocho relaciones),es,nah,9
Se vende en Cuetzalan.,In monamaka Kuesalan.,Una tortillita nomás - Se taxkaltsin saj,es,nah,10
